"","week","total_booster_doses","perc_doses"
"1",2022-03-06,112451,0.033
"2",2022-03-13,107308,0.031
"3",2022-03-20,99524,0.029
"4",2022-03-27,264188,0.076
"5",2022-04-03,418591,0.121
"6",2022-04-10,405536,0.117
"7",2022-04-17,344022,0.099
"8",2022-04-24,328771,0.095
"9",2022-05-01,293952,0.085
"10",2022-05-08,290808,0.084
"11",2022-05-15,295369,0.085
"12",2022-05-22,282129,0.082
"13",2022-05-29,217210,0.063
